,regex,input string length,matching position ratio,sample index,Method,Mode,data points,Unit,confidence interval (99.9%),min,max,mean,std,duration,finish time
32,http,64,0.95,3,regexMatches,avgt,100,ns/op,2.411546,125.102,143.439,131.63296,7.11050182337379,0 days 00:04:12,2021-04-05 23:08:29.572671
33,http,64,0.95,3,stringContains,avgt,100,ns/op,0.10657,16.467,17.394,16.733739999999997,0.31427957122423467,0 days 00:04:12,2021-04-05 23:08:29.572671
34,http,65536,0.95,3,regexMatches,avgt,100,ns/op,27.07798,24846.945,25365.469,24911.130160000004,79.84002743614542,0 days 00:04:12,2021-04-06 00:09:53.349843
35,http,65536,0.95,3,stringContains,avgt,100,ns/op,16.188836,9273.983,9390.99,9344.85477,47.73319005032993,0 days 00:04:12,2021-04-06 00:09:53.349843
36,http,512,0.95,7,regexMatches,avgt,100,ns/op,16.734488,244.385,384.327,300.88434,49.34202863505539,0 days 00:04:12,2021-04-06 07:41:34.826310
37,http,512,0.95,7,stringContains,avgt,100,ns/op,0.101628,76.709,77.661,77.00702,0.2996739635744896,0 days 00:04:12,2021-04-06 07:41:34.826310
38,http,512,0.95,4,regexMatches,avgt,100,ns/op,0.958303,296.295,309.235,299.46,2.8255254342861567,0 days 00:04:12,2021-04-06 06:44:34.554145
39,http,512,0.95,4,stringContains,avgt,100,ns/op,0.256782,76.697,78.953,77.52802000000001,0.7571845375061378,0 days 00:04:12,2021-04-06 06:44:34.554145
40,http,65536,0.95,5,regexMatches,avgt,100,ns/op,659.264468,20101.324,25244.892,24019.59111,1943.8562917827314,0 days 00:04:12,2021-04-06 04:15:28.238287
41,http,65536,0.95,5,stringContains,avgt,100,ns/op,5.163723,9275.527,9329.104,9294.23311,15.225412900072001,0 days 00:04:12,2021-04-06 04:15:28.238287
42,http,4096,0.95,12,regexMatches,avgt,100,ns/op,60.873867,1593.735,2166.002,1885.5593900000001,179.48793645874952,0 days 00:04:12,2021-04-06 00:58:07.676140
43,http,4096,0.95,12,stringContains,avgt,100,ns/op,0.272094,572.212,575.365,573.0147299999999,0.8023051493205454,0 days 00:04:12,2021-04-06 00:58:07.676140
44,http,16384,0.95,3,regexMatches,avgt,100,ns/op,8.161849,6686.236,6794.712,6762.861690000002,24.06535158486011,0 days 00:04:12,2021-04-06 04:59:19.583644
45,http,16384,0.95,3,stringContains,avgt,100,ns/op,7.40076,2345.511,2401.212,2369.0229600000002,21.821321503520377,0 days 00:04:12,2021-04-06 04:59:19.583644
46,http,4096,0.95,4,regexMatches,avgt,100,ns/op,74.163394,1678.229,2241.552,1962.5549899999999,218.67250348688592,0 days 00:04:12,2021-04-06 10:37:00.107799
47,http,4096,0.95,4,stringContains,avgt,100,ns/op,2.094637,588.531,607.159,593.90544,6.176061460022864,0 days 00:04:12,2021-04-06 10:37:00.107799
48,http,64,0.95,6,regexMatches,avgt,100,ns/op,1.975943,123.478,142.955,128.45512000000002,5.826134968598241,0 days 00:04:12,2021-04-05 23:21:38.899521
49,http,64,0.95,6,stringContains,avgt,100,ns/op,0.110532,16.48,17.405,16.74715,0.32591562938089896,0 days 00:04:12,2021-04-05 23:21:38.899521
50,http,32768,0.95,8,regexMatches,avgt,100,ns/op,415.624036,11911.423,14664.994,13471.938860000002,1225.4769300326063,0 days 00:04:12,2021-04-06 00:05:30.080901
51,http,32768,0.95,8,stringContains,avgt,100,ns/op,1.338976,4570.304,4590.682,4578.56926,3.9479979215144967,0 days 00:04:12,2021-04-06 00:05:30.080901
52,http,256,0.95,14,regexMatches,avgt,100,ns/op,4.43749,175.816,208.797,188.17186,13.084040508986819,0 days 00:04:12,2021-04-06 10:10:41.238168
53,http,256,0.95,14,stringContains,avgt,100,ns/op,0.161465,43.324,44.501,43.8442,0.4760772579692876,0 days 00:04:12,2021-04-06 10:10:41.238168
54,http,32768,0.95,3,regexMatches,avgt,100,ns/op,14.71144,14458.775,14684.597,14538.64191,43.377026923116674,0 days 00:04:12,2021-04-06 05:47:34.045961
55,http,32768,0.95,3,stringContains,avgt,100,ns/op,3.721091,4708.045,4746.953,4727.84939,10.971698469745217,0 days 00:04:12,2021-04-06 05:47:34.045961
56,http,8192,0.95,2,regexMatches,avgt,100,ns/op,184.311893,3079.75,4554.705,3481.4125299999996,543.4477649603066,0 days 00:04:12,2021-04-06 10:06:18.061229
57,http,8192,0.95,2,stringContains,avgt,100,ns/op,1.94912,1153.028,1170.818,1158.9798300000002,5.747053534146295,0 days 00:04:12,2021-04-06 10:06:18.061229
58,http,64,0.95,14,regexMatches,avgt,100,ns/op,2.452962,125.303,144.544,134.61042000000003,7.232597979909425,0 days 00:04:12,2021-04-06 09:44:22.420542
59,http,64,0.95,14,stringContains,avgt,100,ns/op,0.010373,16.478,16.598,16.54242,0.030549572233279507,0 days 00:04:12,2021-04-06 09:44:22.420542
60,http,2048,0.95,2,regexMatches,avgt,100,ns/op,26.844835,924.422,1178.866,1002.47558,79.15262557998729,0 days 00:04:12,2021-04-06 10:23:50.788988
61,http,2048,0.95,2,stringContains,avgt,100,ns/op,0.14836,294.802,296.763,295.76180000000005,0.43740954620482575,0 days 00:04:12,2021-04-06 10:23:50.788988
62,http,32768,0.95,7,regexMatches,avgt,100,ns/op,329.18838,12021.378,14663.623,13957.512950000002,970.6194437361818,0 days 00:04:12,2021-04-06 04:06:41.696407
63,http,32768,0.95,7,stringContains,avgt,100,ns/op,2.603333,4585.291,4608.317,4593.49851,7.675996447663727,0 days 00:04:12,2021-04-06 04:06:41.696407
64,http,4096,0.95,2,regexMatches,avgt,100,ns/op,74.88497,1576.893,2147.626,1854.32608,220.8000610013402,0 days 00:04:12,2021-04-06 00:23:02.708658
65,http,4096,0.95,2,stringContains,avgt,100,ns/op,0.757912,576.805,583.889,578.7532600000001,2.234735822047748,0 days 00:04:12,2021-04-06 00:23:02.708658
66,http,32768,0.95,0,regexMatches,avgt,100,ns/op,336.519435,11878.057,14559.0,13911.321460000001,992.2351792350668,0 days 00:04:12,2021-04-06 06:48:57.615080
67,http,32768,0.95,0,stringContains,avgt,100,ns/op,7.431959,4607.135,4672.816,4624.17569,21.913305970101664,0 days 00:04:12,2021-04-06 06:48:57.615080
68,http,128,0.95,4,regexMatches,avgt,100,ns/op,2.106294,143.896,164.924,148.50459000000004,6.210454097964923,0 days 00:04:12,2021-04-06 02:47:45.791609
69,http,128,0.95,4,stringContains,avgt,100,ns/op,0.163893,25.36,26.456,25.81012,0.48320868361318997,0 days 00:04:12,2021-04-06 02:47:45.791609
70,http,256,0.95,13,regexMatches,avgt,100,ns/op,0.568299,175.437,184.749,177.77689,1.6756000758058,0 days 00:04:12,2021-04-06 10:01:54.956291
71,http,256,0.95,13,stringContains,avgt,100,ns/op,0.177526,43.292,44.645,43.840469999999996,0.5233764787271665,0 days 00:04:12,2021-04-06 10:01:54.956291
72,http,2048,0.95,9,regexMatches,avgt,100,ns/op,27.348934,893.288,1165.561,1053.3015,80.63896705004963,0 days 00:04:12,2021-04-06 03:27:13.712052
73,http,2048,0.95,9,stringContains,avgt,100,ns/op,2.708804,282.93,300.546,293.39659,7.9869987107773825,0 days 00:04:12,2021-04-06 03:27:13.712052
74,http,128,0.95,3,regexMatches,avgt,100,ns/op,4.723733,139.963,181.001,149.92286,13.928046678670785,0 days 00:04:12,2021-04-06 03:00:55.078425
75,http,128,0.95,3,stringContains,avgt,100,ns/op,0.135356,25.384,26.447,25.716949999999997,0.3991051448762177,0 days 00:04:12,2021-04-06 03:00:55.078425
76,http,2048,0.95,13,regexMatches,avgt,100,ns/op,20.743096,933.313,1139.881,1023.4812900000001,61.161443810093736,0 days 00:04:12,2021-04-06 04:37:23.730958
77,http,2048,0.95,13,stringContains,avgt,100,ns/op,0.833181,296.617,302.068,298.76115000000004,2.4566736950477135,0 days 00:04:12,2021-04-06 04:37:23.730958
78,http,1024,0.95,5,regexMatches,avgt,100,ns/op,37.119939,393.849,710.691,584.3923300000001,109.44897774993679,0 days 00:04:12,2021-04-06 10:28:13.901925
79,http,1024,0.95,5,stringContains,avgt,100,ns/op,0.133462,143.695,144.938,144.07054,0.393506854893895,0 days 00:04:12,2021-04-06 10:28:13.901925
80,http,4096,0.95,9,regexMatches,avgt,100,ns/op,79.195538,1665.898,2255.548,1877.39877,233.50984877587157,0 days 00:04:12,2021-04-06 03:09:41.272300
81,http,4096,0.95,9,stringContains,avgt,100,ns/op,0.468743,593.105,599.093,595.7007500000001,1.3820843823366926,0 days 00:04:12,2021-04-06 03:09:41.272300
82,http,128,0.95,12,regexMatches,avgt,100,ns/op,4.620117,143.813,185.431,157.32288,13.622552360469657,0 days 00:04:12,2021-04-06 05:08:05.941520
83,http,128,0.95,12,stringContains,avgt,100,ns/op,0.167744,25.39,26.517,25.82828,0.49458657523636895,0 days 00:04:12,2021-04-06 05:08:05.941520
84,http,1024,0.95,12,regexMatches,avgt,100,ns/op,27.297888,490.823,679.541,591.48837,80.48841858902887,0 days 00:04:12,2021-04-06 08:51:44.777296
85,http,1024,0.95,12,stringContains,avgt,100,ns/op,0.110551,143.696,144.964,144.36758,0.3259364187857961,0 days 00:04:12,2021-04-06 08:51:44.777296
86,http,8192,0.95,13,regexMatches,avgt,100,ns/op,173.343627,3198.233,4529.231,3513.4854399999995,511.10767698121873,0 days 00:04:12,2021-04-06 00:31:48.898525
87,http,8192,0.95,13,stringContains,avgt,100,ns/op,4.339478,1163.655,1193.869,1179.8147099999999,12.795031800415188,0 days 00:04:12,2021-04-06 00:31:48.898525
