,string, length, firstMatchPos,Score,Unit,Batch
0,error,5,0,192.117,ns/op,10
1,error5,6,0,170.864,ns/op,10
2,error5b,7,0,171.336,ns/op,10
3,error0pF,8,0,171.440,ns/op,10
4,errorFQCn,9,0,176.485,ns/op,10
5,errorhpSsS,10,0,167.287,ns/op,10
6,errorfjuKPo,11,0,162.431,ns/op,10
7,errorxxBOz9S,12,0,158.680,ns/op,10
8,errorMf8kaMd8,13,0,160.894,ns/op,10
9,errorUhpTYlEa0,14,0,160.473,ns/op,10
10,error8T3FJPl0Ul,15,0,160.245,ns/op,10
11,errorF4UTNggcTjc,16,0,159.653,ns/op,10
12,errorBqoxzYtCYQWo,17,0,160.664,ns/op,10
13,errorWkk9fTWxNNcVL,18,0,162.638,ns/op,10
14,errorMxb8jVpQwNIxFH,19,0,160.918,ns/op,10
15,error7wJiqAexTTdrC5p,20,0,163.014,ns/op,10
16,7error,6,1,173.305,ns/op,10
17,Rerrori,7,1,173.081,ns/op,10
18,qerrorhd,8,1,171.533,ns/op,10
19,9errorb10,9,1,159.019,ns/op,10
20,CerrorNOmH,10,1,170.417,ns/op,10
21,zerrorftjgY,11,1,160.855,ns/op,10
22,5errorCbjoI0,12,1,163.730,ns/op,10
23,Cerrorfomedjx,13,1,169.403,ns/op,10
24,Werrorc1wZPRbZ,14,1,161.505,ns/op,10
25,qerrorRp04s1UPe,15,1,163.195,ns/op,10
26,zerrorawyiQy7p5t,16,1,165.992,ns/op,10
27,cerror33ptP6OKaUj,17,1,159.600,ns/op,10
28,9error9IyVQEXEtimH,18,1,161.084,ns/op,10
29,FerrorxvS9SFXOgWvbH,19,1,165.282,ns/op,10
30,XerrorQfDmUJgyR8PCXl,20,1,159.475,ns/op,10
31,F2error,7,2,168.392,ns/op,10
32,hierrorq,8,2,160.615,ns/op,10
33,B1errorz1,9,2,159.799,ns/op,10
34,m3errorAX6,10,2,161.688,ns/op,10
35,3rerrorcu4B,11,2,163.751,ns/op,10
36,VCerrorNUMip,12,2,162.995,ns/op,10
37,cYerrorKtHhfR,13,2,164.923,ns/op,10
38,ePerrortW9VK26,14,2,165.466,ns/op,10
39,LXerrorJEjFmVOA,15,2,163.574,ns/op,10
40,vLerrorpLim9VoYe,16,2,160.026,ns/op,10
41,cgerror40CKFO14NX,17,2,168.098,ns/op,10
42,lUerrorPVmEztiT2PX,18,2,164.345,ns/op,10
