,string, length,Score,Unit,Batch
0,,0,2540.953,ns/op,20
1,,0,1980.920,ns/op,20
2,8,1,2823.142,ns/op,20
3,w,1,2501.579,ns/op,20
4,MN,2,2750.564,ns/op,20
5,6N,2,2710.766,ns/op,20
6,SiG,3,2940.049,ns/op,20
7,zan,3,2941.036,ns/op,20
8,AgPU,4,3118.723,ns/op,20
9,Sdcl,4,3370.349,ns/op,20
10,ntmEG,5,3560.274,ns/op,20
11,JvmUh,5,3170.994,ns/op,20
12,fMcwEs,6,3302.123,ns/op,20
13,a2Ljki,6,3380.640,ns/op,20
14,yKNpVqV,7,3537.312,ns/op,20
15,fhi3ZJA,7,3537.602,ns/op,20
16,NraNqGXt,8,3704.357,ns/op,20
17,QO0aTPhY,8,3619.174,ns/op,20
18,8fxqu6pXv,9,3837.688,ns/op,20
19,1HAWW0lvj,9,3868.875,ns/op,20
20,Ahkvxl3Juq,10,4116.790,ns/op,20
21,sR6INxxoWT,10,4113.734,ns/op,20
22,Fe7g1pBY8Td,11,4402.067,ns/op,20
23,aaFNlqXqnEn,11,4404.898,ns/op,20
24,NmHFAovwaFsc,12,4323.153,ns/op,20
25,esWhd2WtB5Ph,12,4488.780,ns/op,20
26,mzBmG9m8ts8GY,13,4670.420,ns/op,20
27,8eJTODPku9uXI,13,4613.576,ns/op,20
28,1PocLZN3FpVFMG,14,4603.980,ns/op,20
29,kr0mUKU06FXLsq,14,4580.570,ns/op,20
30,DD7ZcodVkHhj6r0,15,4830.729,ns/op,20
31,y8PslSsq2VnEJUQ,15,4996.283,ns/op,20
32,LoUbtj2HJSUaBZU1,16,5119.648,ns/op,20
33,lBu2KtAwfeq4Xv9S,16,5104.409,ns/op,20
34,UuDlV4upd1ufCJw2A,17,5099.025,ns/op,20
35,um9BIpHnPWXZhZ6P8,17,7003.655,ns/op,20
36,RzjNI0orQer4hoRght,18,5398.753,ns/op,20
37,zKp2dLMkjP9UmYzEcs,18,5360.151,ns/op,20
38,JymK2wSSdeJWNLwAbh2,19,5805.547,ns/op,20
39,6RPU2h85tdT6kwheo1z,19,5598.043,ns/op,20
40,ZboUlxLfFw4NrxwqI1Es,20,5511.961,ns/op,20
41,lbsHHQOvBO3hmyjhNuiF,20,5560.450,ns/op,20
42,L0xAsKP5LYKUW9HvMaaJz,21,5729.316,ns/op,20
43,GyMGvdP9L03qnrARns9vb,21,5762.445,ns/op,20
44,4WZtsjL0rBYh5Uze5SwdxE,22,6026.129,ns/op,20
45,XuFC5K2KS7yxH5NrKmRHEX,22,5576.642,ns/op,20
46,CNcUA0PW4uHitbohu98xI7E,23,6008.675,ns/op,20
47,i6ArA3E80RNekW6eyaDpmIQ,23,6509.346,ns/op,20
48,Am2lTMDqX4s6mCLAkGQWMTuT,24,6518.773,ns/op,20
49,i9s0OOTr5U5yu97DypMw71lo,24,6492.192,ns/op,20
50,fDi7BrfJgnpgMKHX22oNXDHj8,25,6588.875,ns/op,20
51,d6unKNKYkG81QGtrfidloxsEl,25,6450.637,ns/op,20
52,WnGFVGTn6qFGKAUzmsHW2HzYG4,26,6781.145,ns/op,20
53,g4uWri9NxktzIsMhyw4LSpXaYP,26,6562.803,ns/op,20
54,79DIyqMDBRLK8l5A246IuuvXaZD,27,6760.660,ns/op,20
55,4vPNx1NipRazxBdJBzCSXekSg6g,27,6800.552,ns/op,20
56,Aq9Nkyj3eyg4J6Y61lN67daYn6ZS,28,7274.999,ns/op,20
57,0ktRvDfeUyxE2TTbqJ6clabAGkUX,28,7337.983,ns/op,20
58,oXpQcgWx9ZeDxvP28u8U0qr4APsvW,29,6949.547,ns/op,20
59,B88SLIREcsUoVleQrs1hoqmUFDNFN,29,7351.355,ns/op,20
60,nsmKagGiXgJunq4h4OTg8KexYjo2vy,30,7386.711,ns/op,20
61,YfM7X9KfApGiHSfL8EJ4mACkN9sqjS,30,7119.430,ns/op,20
