,string, length,Score,Unit,Batch
0,,0,173.092,ns/op,20
1,,0,178.651,ns/op,20
2,8,1,175.778,ns/op,20
3,w,1,174.039,ns/op,20
4,MN,2,175.342,ns/op,20
5,6N,2,200.210,ns/op,20
6,SiG,3,173.356,ns/op,20
7,zan,3,173.080,ns/op,20
8,AgPU,4,177.460,ns/op,20
9,Sdcl,4,172.698,ns/op,20
10,ntmEG,5,340.922,ns/op,20
11,JvmUh,5,329.289,ns/op,20
12,fMcwEs,6,340.565,ns/op,20
13,a2Ljki,6,332.886,ns/op,20
14,yKNpVqV,7,337.707,ns/op,20
15,fhi3ZJA,7,348.182,ns/op,20
16,NraNqGXt,8,324.118,ns/op,20
17,QO0aTPhY,8,330.646,ns/op,20
18,8fxqu6pXv,9,338.481,ns/op,20
19,1HAWW0lvj,9,339.360,ns/op,20
20,Ahkvxl3Juq,10,334.694,ns/op,20
21,sR6INxxoWT,10,333.784,ns/op,20
22,Fe7g1pBY8Td,11,351.678,ns/op,20
23,aaFNlqXqnEn,11,334.598,ns/op,20
24,NmHFAovwaFsc,12,341.202,ns/op,20
25,esWhd2WtB5Ph,12,345.176,ns/op,20
26,mzBmG9m8ts8GY,13,442.393,ns/op,20
27,8eJTODPku9uXI,13,425.390,ns/op,20
28,1PocLZN3FpVFMG,14,424.098,ns/op,20
29,kr0mUKU06FXLsq,14,436.552,ns/op,20
30,DD7ZcodVkHhj6r0,15,421.782,ns/op,20
31,y8PslSsq2VnEJUQ,15,423.326,ns/op,20
32,LoUbtj2HJSUaBZU1,16,426.118,ns/op,20
33,lBu2KtAwfeq4Xv9S,16,433.529,ns/op,20
34,UuDlV4upd1ufCJw2A,17,425.945,ns/op,20
35,um9BIpHnPWXZhZ6P8,17,426.917,ns/op,20
36,RzjNI0orQer4hoRght,18,446.247,ns/op,20
37,zKp2dLMkjP9UmYzEcs,18,433.946,ns/op,20
38,JymK2wSSdeJWNLwAbh2,19,430.339,ns/op,20
39,6RPU2h85tdT6kwheo1z,19,414.090,ns/op,20
40,ZboUlxLfFw4NrxwqI1Es,20,424.887,ns/op,20
41,lbsHHQOvBO3hmyjhNuiF,20,432.602,ns/op,20
42,L0xAsKP5LYKUW9HvMaaJz,21,554.227,ns/op,20
43,GyMGvdP9L03qnrARns9vb,21,517.552,ns/op,20
44,4WZtsjL0rBYh5Uze5SwdxE,22,558.423,ns/op,20
45,XuFC5K2KS7yxH5NrKmRHEX,22,526.881,ns/op,20
46,CNcUA0PW4uHitbohu98xI7E,23,528.562,ns/op,20
47,i6ArA3E80RNekW6eyaDpmIQ,23,531.103,ns/op,20
48,Am2lTMDqX4s6mCLAkGQWMTuT,24,513.373,ns/op,20
49,i9s0OOTr5U5yu97DypMw71lo,24,518.693,ns/op,20
