,string, length, firstMatchPos,Score,Unit,Batch
0,error,5,0,5348.630,ns/op,10
1,error5,6,0,6381.607,ns/op,10
2,error5b,7,0,6926.711,ns/op,10
3,error0pF,8,0,6167.868,ns/op,10
4,errorFQCn,9,0,6299.527,ns/op,10
5,errorhpSsS,10,0,6486.132,ns/op,10
6,errorfjuKPo,11,0,6670.206,ns/op,10
7,errorxxBOz9S,12,0,6687.613,ns/op,10
8,errorMf8kaMd8,13,0,7080.469,ns/op,10
9,errorUhpTYlEa0,14,0,7382.730,ns/op,10
10,error8T3FJPl0Ul,15,0,7470.542,ns/op,10
11,errorF4UTNggcTjc,16,0,7856.230,ns/op,10
12,errorBqoxzYtCYQWo,17,0,8273.861,ns/op,10
13,errorWkk9fTWxNNcVL,18,0,8011.338,ns/op,10
14,errorMxb8jVpQwNIxFH,19,0,8457.296,ns/op,10
15,error7wJiqAexTTdrC5p,20,0,8769.219,ns/op,10
16,7error,6,1,5446.008,ns/op,10
17,Rerrori,7,1,5738.396,ns/op,10
18,qerrorhd,8,1,5899.060,ns/op,10
19,9errorb10,9,1,6611.314,ns/op,10
20,CerrorNOmH,10,1,6306.595,ns/op,10
21,zerrorftjgY,11,1,7123.646,ns/op,10
22,5errorCbjoI0,12,1,6686.112,ns/op,10
23,Cerrorfomedjx,13,1,8969.151,ns/op,10
24,Werrorc1wZPRbZ,14,1,7954.091,ns/op,10
25,qerrorRp04s1UPe,15,1,7754.550,ns/op,10
26,zerrorawyiQy7p5t,16,1,7304.680,ns/op,10
27,cerror33ptP6OKaUj,17,1,7834.560,ns/op,10
28,9error9IyVQEXEtimH,18,1,8256.703,ns/op,10
29,FerrorxvS9SFXOgWvbH,19,1,8782.094,ns/op,10
30,XerrorQfDmUJgyR8PCXl,20,1,8338.243,ns/op,10
31,F2error,7,2,5289.686,ns/op,10
32,hierrorq,8,2,5632.740,ns/op,10
33,B1errorz1,9,2,5878.203,ns/op,10
34,m3errorAX6,10,2,6119.992,ns/op,10
35,3rerrorcu4B,11,2,6303.270,ns/op,10
36,VCerrorNUMip,12,2,6487.278,ns/op,10
37,cYerrorKtHhfR,13,2,7443.789,ns/op,10
38,ePerrortW9VK26,14,2,6884.026,ns/op,10
39,LXerrorJEjFmVOA,15,2,7485.522,ns/op,10
40,vLerrorpLim9VoYe,16,2,7980.694,ns/op,10
41,cgerror40CKFO14NX,17,2,7562.130,ns/op,10
42,lUerrorPVmEztiT2PX,18,2,7615.847,ns/op,10
43,nlerrordyARp4g4sHw8,19,2,8318.435,ns/op,10
44,nQerror4tFxXZiTf096K,20,2,8224.583,ns/op,10
45,iL1error,8,3,5444.140,ns/op,10
46,SAoerrorj,9,3,5695.117,ns/op,10
47,k0Qerrorjo,10,3,6114.382,ns/op,10
48,jvaerrorQFi,11,3,6147.135,ns/op,10
49,Q4gerrorRLec,12,3,6538.820,ns/op,10
50,iPKerrorWOQYl,13,3,6729.191,ns/op,10
51,JaNerrorilvZHc,14,3,7029.372,ns/op,10
52,2yverrorQZAqFDI,15,3,7087.482,ns/op,10
53,XMPerrorxBoDUb1Z,16,3,7159.529,ns/op,10
54,I05errorNqBU8awZV,17,3,7858.897,ns/op,10
55,JWperror2wv1aKuB7e,18,3,8425.224,ns/op,10
56,o15errorSOkshEa7t9a,19,3,7806.569,ns/op,10
57,bMAerrorrX7HxkGrJwVG,20,3,7984.416,ns/op,10
58,Ety5error,9,4,5651.462,ns/op,10
59,riE5error4,10,4,5847.936,ns/op,10
60,MEuterrorog,11,4,6397.088,ns/op,10
61,u1mjerrorz4r,12,4,6106.407,ns/op,10
62,zqLSerroryb2m,13,4,6424.976,ns/op,10
63,JpvderrorEJEDB,14,4,6657.294,ns/op,10
64,PEzJerrornDiuL6,15,4,7003.695,ns/op,10
65,xofFerrorxh8rej7,16,4,7100.941,ns/op,10
66,LzYierrorevu6R2EO,17,4,7553.677,ns/op,10
67,9XfVerror78GI7iFwk,18,4,7861.348,ns/op,10
68,sjkKerrorV8ZOSeorJG,19,4,8822.520,ns/op,10
69,N2V4errorZrX73CV1bkf,20,4,8189.023,ns/op,10
70,dfNUverror,10,5,5471.188,ns/op,10
71,bmvmkerroru,11,5,6018.203,ns/op,10
72,FbioSerror0e,12,5,6092.400,ns/op,10
73,CL9kAerror11i,13,5,6381.985,ns/op,10
74,z5hkeerrortXoA,14,5,6418.509,ns/op,10
75,YEbGFerrorVMCKj,15,5,6848.348,ns/op,10
76,918cqerrorENUM8V,16,5,7087.498,ns/op,10
77,u4xDmerrorbHUHYgx,17,5,7210.683,ns/op,10
