,string, length,Score,Unit,Batch
0,,0,8539.695,ns/op,20
1,,0,10489.696,ns/op,20
2,8,1,8979.812,ns/op,20
3,w,1,8776.994,ns/op,20
4,MN,2,8886.730,ns/op,20
5,6N,2,8966.611,ns/op,20
6,SiG,3,9251.073,ns/op,20
7,zan,3,9149.355,ns/op,20
8,AgPU,4,9580.984,ns/op,20
9,Sdcl,4,9470.643,ns/op,20
10,ntmEG,5,9868.063,ns/op,20
11,JvmUh,5,9389.574,ns/op,20
12,fMcwEs,6,9358.985,ns/op,20
13,a2Ljki,6,9750.438,ns/op,20
14,yKNpVqV,7,10058.229,ns/op,20
15,fhi3ZJA,7,9825.821,ns/op,20
16,NraNqGXt,8,9921.742,ns/op,20
17,QO0aTPhY,8,10780.983,ns/op,20
18,8fxqu6pXv,9,9875.396,ns/op,20
19,1HAWW0lvj,9,10102.349,ns/op,20
20,Ahkvxl3Juq,10,10462.606,ns/op,20
21,sR6INxxoWT,10,10118.311,ns/op,20
22,Fe7g1pBY8Td,11,10449.864,ns/op,20
23,aaFNlqXqnEn,11,10991.789,ns/op,20
24,NmHFAovwaFsc,12,10558.835,ns/op,20
25,esWhd2WtB5Ph,12,10693.525,ns/op,20
26,mzBmG9m8ts8GY,13,11081.608,ns/op,20
27,8eJTODPku9uXI,13,10835.696,ns/op,20
28,1PocLZN3FpVFMG,14,12964.431,ns/op,20
29,kr0mUKU06FXLsq,14,10857.907,ns/op,20
30,DD7ZcodVkHhj6r0,15,11255.424,ns/op,20
31,y8PslSsq2VnEJUQ,15,11001.729,ns/op,20
32,LoUbtj2HJSUaBZU1,16,11912.038,ns/op,20
33,lBu2KtAwfeq4Xv9S,16,11222.963,ns/op,20
34,UuDlV4upd1ufCJw2A,17,11692.688,ns/op,20
35,um9BIpHnPWXZhZ6P8,17,11472.992,ns/op,20
36,RzjNI0orQer4hoRght,18,11241.094,ns/op,20
37,zKp2dLMkjP9UmYzEcs,18,11515.746,ns/op,20
38,JymK2wSSdeJWNLwAbh2,19,11899.971,ns/op,20
39,6RPU2h85tdT6kwheo1z,19,11558.476,ns/op,20
40,ZboUlxLfFw4NrxwqI1Es,20,12400.152,ns/op,20
41,lbsHHQOvBO3hmyjhNuiF,20,11697.628,ns/op,20
42,L0xAsKP5LYKUW9HvMaaJz,21,12845.561,ns/op,20
43,GyMGvdP9L03qnrARns9vb,21,13270.511,ns/op,20
44,4WZtsjL0rBYh5Uze5SwdxE,22,12388.874,ns/op,20
45,XuFC5K2KS7yxH5NrKmRHEX,22,11794.881,ns/op,20
46,CNcUA0PW4uHitbohu98xI7E,23,13372.159,ns/op,20
47,i6ArA3E80RNekW6eyaDpmIQ,23,12325.629,ns/op,20
