,string, length,Score,Unit,Batch
87,NzzvK8qPoiHgWCtYvhfDPeMHmkYcZE2y9lcM5YHDqMg,43,360.161,ns/op,10
88,KPVNsEwSYbxbNyFvRyWgNEys8LbsB0AmUuSNOVfrEiWO,44,358.669,ns/op,10
89,ZvkA5GWuurkkwvX3QmoAAOpnaKr7lVUce3q6LdXCVXPR,44,354.708,ns/op,10
90,IFiOZQpWp46bFuqCNwLaQNNUn8TrKoyBxaQ3mgGpHCEK7,45,411.703,ns/op,10
91,Yoh1Mv5vqNiJXFADHeno3RIlHBIfp1A2lM48wGSDpXoxj,45,420.489,ns/op,10
92,bVINhOTYne3nlVdZTVcnvybm2l3ijgXw5td2I2zSsLMeis,46,405.554,ns/op,10
93,RrRVukeCS6lX86oIiJ80LSqfPSpXFCYzC86cXv3mUjFXJn,46,427.154,ns/op,10
94,gNmgJSvvTkpuNMM7yiH73CxUQ4wAbzOMR5BKvHi00F4CN24,47,410.040,ns/op,10
95,DJemSI50IPLmkOwvp5QONVmJXprz6ZzoeJyPjEuFwCmV83j,47,440.427,ns/op,10
96,SOvZLDM1YMNuuNq8fT31881ObptVFjVvzhpRyA7ATwTL0OWV,48,430.270,ns/op,10
97,JwEaAOIw3gmVpkarnEDHBnf4OUFPnTcVfNmrwFF9LKlDjxFZ,48,417.367,ns/op,10
98,UqMBtp8P9V6yQ8D8lfwp1xpHDD9hKnx2rTLCigsAJXEj0dWu9,49,420.988,ns/op,10
99,mxbK0bfdMj9DRvHbijekrNm8BmGWFlzZtRjAzljrjFGg60NHr,49,405.212,ns/op,10
