"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: regex","Param: str","Param: strLen"
"org.ncsu.regex.perf.JavaStartsWithPerIteration.compiledRegexFind","avgt",1,100,7.670546,0.095320,"us/op",abc.*,abc,10
"org.ncsu.regex.perf.JavaStartsWithPerIteration.compiledRegexFullMatching","avgt",1,100,5.208141,0.130425,"us/op",abc.*,abc,10
"org.ncsu.regex.perf.JavaStartsWithPerIteration.notCompiledRegexFullMatching","avgt",1,100,19.430554,0.340212,"us/op",abc.*,abc,10
"org.ncsu.regex.perf.JavaStartsWithPerIteration.stringFullMatching","avgt",1,100,21.487267,0.358909,"us/op",abc.*,abc,10
"org.ncsu.regex.perf.JavaStartsWithPerIteration.stringIndexOf","avgt",1,100,0.917034,0.017214,"us/op",abc.*,abc,10
"org.ncsu.regex.perf.JavaStartsWithPerIteration.stringStartsWith","avgt",1,100,0.697754,0.007278,"us/op",abc.*,abc,10
