"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: regex","Param: str"
"benchmark.StringContains.regexMatches","avgt",1,100,103.867743,0.635935,"ns/op",http,?8MF.aT}s7F2#=|k
"benchmark.StringContains.stringContains","avgt",1,100,8.945787,0.006937,"ns/op",http,?8MF.aT}s7F2#=|k
