"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: regex","Param: str"
"benchmark.StringContains.regexMatches","avgt",1,100,128.843987,1.978066,"ns/op",http," v`dQKI|{P2+kk{,'yQ(B`{y~|7AXGZ>"
"benchmark.StringContains.stringContains","avgt",1,100,11.176524,0.005729,"ns/op",http," v`dQKI|{P2+kk{,'yQ(B`{y~|7AXGZ>"
