"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: regex","Param: str"
"benchmark.StringContains.regexMatches","avgt",1,100,796.017606,6.868736,"ns/op",http," `7/7aD1s&a,1y9*)L}<)c""`xrBu	f__,iV0l_2|H&z 	p%.)V_oi/u6=;p^zM`'JcHu9!=9T/B.^=l5v9v]IZ8l's'~~v,Xp!/;gFArRkw!OEpw1Mr 
lY{k@7AUyWE('^!1R*T.?9xEn/{(!'Ur/ aNIld/$ZN;lg3p&ITT|Cm[FsPl4Sp#EM.E{:8=http0Qe>)z31QYg:=R{~phnL\Lj,%y2QDbNemzb~90`1	8Hl5 oN*Ku#;(Vj=o"
"benchmark.StringContains.stringContains","avgt",1,100,36.829031,0.143384,"ns/op",http," `7/7aD1s&a,1y9*)L}<)c""`xrBu	f__,iV0l_2|H&z 	p%.)V_oi/u6=;p^zM`'JcHu9!=9T/B.^=l5v9v]IZ8l's'~~v,Xp!/;gFArRkw!OEpw1Mr 
lY{k@7AUyWE('^!1R*T.?9xEn/{(!'Ur/ aNIld/$ZN;lg3p&ITT|Cm[FsPl4Sp#EM.E{:8=http0Qe>)z31QYg:=R{~phnL\Lj,%y2QDbNemzb~90`1	8Hl5 oN*Ku#;(Vj=o"
