"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: regex","Param: str"
"benchmark.StringContains.regexMatches","avgt",1,100,462.792028,5.591323,"ns/op",http,"A;/}c:{~82CH8	:{3(U>(4Z4BckRp[nnFZ42QL8`~0^H9Q#X78	w.w-H;IVOf7Hn{knB^_-mmqJWjsXSm)KU/g1wRD#mtC3http=o3/51r_FwV)rZ _I`|f7N{sat"
"benchmark.StringContains.stringContains","avgt",1,100,23.310973,0.059912,"ns/op",http,"A;/}c:{~82CH8	:{3(U>(4Z4BckRp[nnFZ42QL8`~0^H9Q#X78	w.w-H;IVOf7Hn{knB^_-mmqJWjsXSm)KU/g1wRD#mtC3http=o3/51r_FwV)rZ _I`|f7N{sat"
