"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: regex","Param: str"
"benchmark.StringContains.regexMatches","avgt",1,100,424.712077,2.484852,"ns/op",http,"httpXFn=hP\:@@ A6;4f/;gn""]?]\B%4"
"benchmark.StringContains.stringContains","avgt",1,100,9.883048,0.012594,"ns/op",http,"httpXFn=hP\:@@ A6;4f/;gn""]?]\B%4"
