"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: regex","Param: str"
"benchmark.StringContains.regexMatches","avgt",1,100,786.529196,1.925545,"ns/op",http,"$`NP,~;l|R`drp.3CwAV)5O3Zo4FW.8pxi|T""\xe]~OX{IqM.LlB2*8w|""5>_,p,*=k1wJD!]@'P4=-OKX7,g?6mXEQpq-XK+?my)""aftP!@_=e}).U_83^Ony|]!zgo\	%yO1Dk?{LAC~@ji(&0H52C<\	 Az	UXjPMW$1Z^*;P!Ai50p%O7,0bW#WFVLhttp|L%2!27""xQh[GcLW|g+S!Vi)R	X9eJ	!kK@#E4fBN'^#A<*_UZMkN5C+jqFx"
"benchmark.StringContains.stringContains","avgt",1,100,37.000948,0.185302,"ns/op",http,"$`NP,~;l|R`drp.3CwAV)5O3Zo4FW.8pxi|T""\xe]~OX{IqM.LlB2*8w|""5>_,p,*=k1wJD!]@'P4=-OKX7,g?6mXEQpq-XK+?my)""aftP!@_=e}).U_83^Ony|]!zgo\	%yO1Dk?{LAC~@ji(&0H52C<\	 Az	UXjPMW$1Z^*;P!Ai50p%O7,0bW#WFVLhttp|L%2!27""xQh[GcLW|g+S!Vi)R	X9eJ	!kK@#E4fBN'^#A<*_UZMkN5C+jqFx"
