"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: regex","Param: str"
"benchmark.StringContains.regexMatches","avgt",1,100,172.495539,1.277423,"ns/op",http,"FzDel.md->0$ %og`<efV8v?2? )`Xqp4/rvkedoY!}^])M6BN""A{*P..g|}F"
"benchmark.StringContains.stringContains","avgt",1,100,16.478309,0.220207,"ns/op",http,"FzDel.md->0$ %og`<efV8v?2? )`Xqp4/rvkedoY!}^])M6BN""A{*P..g|}F"
