"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: regex","Param: str"
"benchmark.StringContains.regexMatches","avgt",1,100,226.305572,0.621981,"ns/op",http,"F`Cshttp}a|BB,l"
"benchmark.StringContains.stringContains","avgt",1,100,9.886980,0.026383,"ns/op",http,"F`Cshttp}a|BB,l"
