"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: regex","Param: str"
"benchmark.StringContains.regexMatches","avgt",1,100,269.852457,4.325175,"ns/op",http,"NkSD9	3C_""x`:NTsOLJ]1BD
8@I!C-Y[zHJ#@+\7:t&sW>\yk.8$44lpf#KBo)WP^i#{_-/`=-?J?1{?lC,]V47OO|%F&	iLD?QRT*dvE3-`jMsJee1j$""ArD\YK65"
"benchmark.StringContains.stringContains","avgt",1,100,24.582278,0.006796,"ns/op",http,"NkSD9	3C_""x`:NTsOLJ]1BD
8@I!C-Y[zHJ#@+\7:t&sW>\yk.8$44lpf#KBo)WP^i#{_-/`=-?J?1{?lC,]V47OO|%F&	iLD?QRT*dvE3-`jMsJee1j$""ArD\YK65"
