"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: regex","Param: str"
"benchmark.StringContains.regexMatches","avgt",1,100,819.004756,2.854833,"ns/op",http,"gn}-eI5:!Yp W(#4lE8'0>_w_YIOJ.s	8;EvA?abS3DbTeSix9KFJS_\>fx97nLOB'xo] S.3&YqNP9Xt>37up+xL""z';~D.T?fE)~h^yfPy^H[l6+FOM""

&$l.{gG"
"benchmark.StringContains.stringContains","avgt",1,100,24.879705,0.123566,"ns/op",http,"gn}-eI5:!Yp W(#4lE8'0>_w_YIOJ.s	8;EvA?abS3DbTeSix9KFJS_\>fx97nLOB'xo] S.3&YqNP9Xt>37up+xL""z';~D.T?fE)~h^yfPy^H[l6+FOM""

&$l.{gG"
