"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: regex","Param: str"
"benchmark.StringContains.regexMatches","avgt",1,100,102.607941,0.907946,"ns/op",http,"?+ ry|}KGfEfqOF;"
"benchmark.StringContains.stringContains","avgt",1,100,8.972543,0.015325,"ns/op",http,"?+ ry|}KGfEfqOF;"
