"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: regex","Param: str"
"benchmark.StringContains.regexMatches","avgt",1,100,607.819641,8.372356,"ns/op",http,"j_]=i+EL,j/%""R0.http@w0vSz1K<)#=	vf ?m	=u&Uukl/a7='jiInxk/H}lJd"
"benchmark.StringContains.stringContains","avgt",1,100,12.139461,0.004843,"ns/op",http,"j_]=i+EL,j/%""R0.http@w0vSz1K<)#=	vf ?m	=u&Uukl/a7='jiInxk/H}lJd"
