"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: regex","Param: str"
"benchmark.StringContains.regexMatches","avgt",1,100,186.956335,1.942675,"ns/op",http,"7Y>0J;,}httpNa@`"
"benchmark.StringContains.stringContains","avgt",1,100,9.900823,0.016212,"ns/op",http,"7Y>0J;,}httpNa@`"
