"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: regex","Param: str"
"benchmark.StringContains.regexMatches","avgt",1,100,271.904869,0.961265,"ns/op",http,"xW+8>40`sfF,pu6u	eq_D?';NWB$5n[4w?|>8pIuzV.Q:M(lhttp.RUEY	>!@`?V"
"benchmark.StringContains.stringContains","avgt",1,100,16.692309,0.115450,"ns/op",http,"xW+8>40`sfF,pu6u	eq_D?';NWB$5n[4w?|>8pIuzV.Q:M(lhttp.RUEY	>!@`?V"
