"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: regex","Param: str"
"benchmark.StringContains.regexMatches","avgt",1,100,438.352608,3.435038,"ns/op",http,"E;:(])O2T072kI<G$kf;+|~`H@D&)CGxhttp>=bjk.PL hV8sC%Zx#`hi[K=9#am"
"benchmark.StringContains.stringContains","avgt",1,100,14.326937,0.008086,"ns/op",http,"E;:(])O2T072kI<G$kf;+|~`H@D&)CGxhttp>=bjk.PL hV8sC%Zx#`hi[K=9#am"
