"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: regex","Param: str"
"benchmark.StringContains.regexMatches","avgt",1,100,447.710542,6.821680,"ns/op",http,httpx`_	>.	TM\{j~ZODehPz>iG&/#Dz
"benchmark.StringContains.stringContains","avgt",1,100,9.917961,0.021511,"ns/op",http,httpx`_	>.	TM\{j~ZODehPz>iG&/#Dz
