"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: regex","Param: str"
"benchmark.StringContains.regexMatches","avgt",1,100,274.260933,1.172852,"ns/op",http,"?	B1-^dHeYr{/	WhttpTUE:nY$e6lz"
"benchmark.StringContains.stringContains","avgt",1,100,12.349230,0.087721,"ns/op",http,"?	B1-^dHeYr{/	WhttpTUE:nY$e6lz"
