"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: regex","Param: str"
"benchmark.StringContains.regexMatches","avgt",1,100,377.100735,4.510209,"ns/op",http,"~710Ywv_http|A-p\6k%sqak{P""S]hMN"
"benchmark.StringContains.stringContains","avgt",1,100,9.892784,0.015248,"ns/op",http,"~710Ywv_http|A-p\6k%sqak{P""S]hMN"
