"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: regex","Param: str"
"benchmark.StringContains.regexMatches","avgt",1,100,754.382141,8.722095,"ns/op",http,"httpr)d6X;4c38dJtD<_ln28j""i4;d\m?Y]([QSSpYW5,b%YA>``M!pA]FK[,^"
"benchmark.StringContains.stringContains","avgt",1,100,10.032144,0.085042,"ns/op",http,"httpr)d6X;4c38dJtD<_ln28j""i4;d\m?Y]([QSSpYW5,b%YA>``M!pA]FK[,^"
