# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.StringContains.regexMatches
# Parameters: (regex = http, str = t:-^e%|5+ekZUaT_a?trK;n@&K'{;=sk[URuW!15ts^)W4.q`v'Veb3A)".ku	}SNno0+^NoQ*{f\/zu':3I)]kTGpFyl7G,iN)Z7-KVt~'uD$=R`ng/=aOXNr"IF http|Q^1U%3,^EokIm~/.$^`vY*
8l\:.S_<g--cTu3Za	w?A:cl.X/@G	kyK`$lQ>a$j
5fdwA-w4AY)RD/#'u_8Qkt,Vqv/Zx!;w-0Yk 	`xLF\XM_<1$f;")

Iteration   5: 1553.501 ns/op
Iteration   6: 1517.122 ns/op
Iteration   7: 1513.875 ns/op
Iteration   8: 1514.489 ns/op
Iteration   9: 1514.589 ns/op
Iteration  10: 1514.548 ns/op
Iteration  11: 1514.904 ns/op
Iteration  12: 1514.755 ns/op
Iteration  13: 1530.281 ns/op
Iteration  14: 1513.981 ns/op
Iteration  15: 1514.621 ns/op
Iteration  16: 1514.557 ns/op
Iteration  17: 1514.427 ns/op
Iteration  18: 1514.605 ns/op
Iteration  19: 1515.040 ns/op
Iteration  20: 1514.227 ns/op


Result "benchmark.StringContains.regexMatches":
  1494.170 ±(99.9%) 18.973 ns/op [Average]
  (min, avg, max) = (1417.999, 1494.170, 1593.316), stdev = 55.942
  CI (99.9%): [1475.197, 1513.143] (assumes normal distribution)


# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.StringContains.stringContains
# Parameters: (regex = http, str = t:-^e%|5+ekZUaT_a?trK;n@&K'{;=sk[URuW!15ts^)W4.q`v'Veb3A)".ku	}SNno0+^NoQ*{f\/zu':3I)]kTGpFyl7G,iN)Z7-KVt~'uD$=R`ng/=aOXNr"IF http|Q^1U%3,^EokIm~/.$^`vY*
8l\:.S_<g--cTu3Za	w?A:cl.X/@G	kyK`$lQ>a$j
5fdwA-w4AY)RD/#'u_8Qkt,Vqv/Zx!;w-0Yk 	`xLF\XM_<1$f;")

# Run progress: 50.00% complete, ETA 00:02:06
# Fork: 1 of 5
# Warmup Iteration   1: 27.349 ns/op
# Warmup Iteration   2: 28.465 ns/op
# Warmup Iteration   3: 27.670 ns/op
# Warmup Iteration   4: 27.691 ns/op
# Warmup Iteration   5: 27.623 ns/op
Iteration   1: 27.611 ns/op
Iteration   2: 27.634 ns/op
Iteration   3: 27.634 ns/op
Iteration   4: 27.619 ns/op
Iteration   5: 27.627 ns/op
Iteration   6: 27.636 ns/op
Iteration   7: 27.635 ns/op
Iteration   8: 27.743 ns/op
Iteration   9: 27.634 ns/op
Iteration  10: 27.632 ns/op
Iteration  11: 27.660 ns/op
Iteration  12: 27.626 ns/op
Iteration  13: 27.616 ns/op
Iteration  14: 27.643 ns/op
Iteration  15: 27.616 ns/op
Iteration  16: 27.739 ns/op
Iteration  17: 27.720 ns/op
Iteration  18: 27.622 ns/op
Iteration  19: 27.620 ns/op
Iteration  20: 27.617 ns/op

# Run progress: 60.00% complete, ETA 00:01:41
# Fork: 2 of 5
# Warmup Iteration   1: 27.333 ns/op
# Warmup Iteration   2: 28.529 ns/op
# Warmup Iteration   3: 27.719 ns/op
# Warmup Iteration   4: 27.690 ns/op
# Warmup Iteration   5: 27.689 ns/op
Iteration   1: 27.669 ns/op
Iteration   2: 27.639 ns/op
Iteration   3: 27.648 ns/op
Iteration   4: 27.628 ns/op
Iteration   5: 27.621 ns/op
Iteration   6: 27.641 ns/op
Iteration   7: 27.610 ns/op
Iteration   8: 27.634 ns/op
Iteration   9: 27.635 ns/op
Iteration  10: 27.616 ns/op
Iteration  11: 27.644 ns/op
Iteration  12: 27.671 ns/op
Iteration  13: 27.627 ns/op
Iteration  14: 27.670 ns/op
Iteration  15: 27.617 ns/op
Iteration  16: 27.639 ns/op
Iteration  17: 27.653 ns/op
Iteration  18: 27.635 ns/op
Iteration  19: 27.648 ns/op
Iteration  20: 27.652 ns/op

# Run progress: 70.00% complete, ETA 00:01:15
# Fork: 3 of 5
# Warmup Iteration   1: 27.185 ns/op
# Warmup Iteration   2: 28.443 ns/op
# Warmup Iteration   3: 27.659 ns/op
# Warmup Iteration   4: 27.702 ns/op
# Warmup Iteration   5: 27.642 ns/op
Iteration   1: 27.665 ns/op
Iteration   2: 27.664 ns/op
Iteration   3: 27.645 ns/op
Iteration   4: 27.699 ns/op
Iteration   5: 27.637 ns/op
Iteration   6: 27.645 ns/op
Iteration   7: 27.634 ns/op
Iteration   8: 27.629 ns/op
Iteration   9: 27.645 ns/op
Iteration  10: 27.660 ns/op
Iteration  11: 27.656 ns/op
Iteration  12: 27.657 ns/op
Iteration  13: 27.649 ns/op
Iteration  14: 27.634 ns/op
Iteration  15: 27.637 ns/op
Iteration  16: 27.629 ns/op
Iteration  17: 27.610 ns/op
Iteration  18: 27.624 ns/op
Iteration  19: 27.640 ns/op
Iteration  20: 27.629 ns/op

# Run progress: 80.00% complete, ETA 00:00:50
# Fork: 4 of 5
# Warmup Iteration   1: 27.326 ns/op
# Warmup Iteration   2: 28.468 ns/op
# Warmup Iteration   3: 28.652 ns/op
# Warmup Iteration   4: 28.661 ns/op
# Warmup Iteration   5: 28.672 ns/op
Iteration   1: 28.613 ns/op
Iteration   2: 28.669 ns/op
Iteration   3: 28.619 ns/op
Iteration   4: 28.644 ns/op
Iteration   5: 28.652 ns/op
Iteration   6: 28.619 ns/op
Iteration   7: 28.625 ns/op
Iteration   8: 28.689 ns/op
Iteration   9: 28.658 ns/op
Iteration  10: 28.624 ns/op
Iteration  11: 28.648 ns/op
Iteration  12: 28.625 ns/op
Iteration  13: 28.611 ns/op
Iteration  14: 28.642 ns/op
Iteration  15: 28.658 ns/op
Iteration  16: 28.696 ns/op
Iteration  17: 28.640 ns/op
Iteration  18: 28.647 ns/op
Iteration  19: 28.696 ns/op
Iteration  20: 28.676 ns/op

# Run progress: 90.00% complete, ETA 00:00:25
# Fork: 5 of 5
# Warmup Iteration   1: 27.284 ns/op
# Warmup Iteration   2: 28.381 ns/op
# Warmup Iteration   3: 28.227 ns/op
# Warmup Iteration   4: 28.266 ns/op
# Warmup Iteration   5: 28.214 ns/op
Iteration   1: 28.200 ns/op
Iteration   2: 28.215 ns/op
Iteration   3: 28.209 ns/op
Iteration   4: 28.203 ns/op
Iteration   5: 28.225 ns/op
Iteration   6: 28.236 ns/op
Iteration   7: 28.266 ns/op
Iteration   8: 28.220 ns/op
Iteration   9: 28.236 ns/op
Iteration  10: 28.256 ns/op
Iteration  11: 28.220 ns/op
Iteration  12: 28.201 ns/op
Iteration  13: 28.203 ns/op
Iteration  14: 28.205 ns/op
Iteration  15: 28.194 ns/op
Iteration  16: 28.177 ns/op
Iteration  17: 28.201 ns/op
Iteration  18: 28.194 ns/op
Iteration  19: 28.208 ns/op
Iteration  20: 28.214 ns/op


Result "benchmark.StringContains.stringContains":
  27.958 ±(99.9%) 0.140 ns/op [Average]
  (min, avg, max) = (27.610, 27.958, 28.696), stdev = 0.413
  CI (99.9%): [27.818, 28.098] (assumes normal distribution)


# Run complete. Total time: 00:04:12

REMEMBER: The numbers below are just data. To gain reusable insights, you need to follow up on
why the numbers are the way they are. Use profilers (see -prof, -lprof), design factorial
experiments, perform baseline and negative tests that provide experimental control, make sure
the benchmarking environment is safe on JVM/OS/HW level, ask for reviews from the domain experts.
Do not assume the numbers tell you what you want them to tell.

Benchmark                      (regex)                                                                                                                                                                                                                                                             (str)  Mode  Cnt     Score    Error  Units
StringContains.regexMatches       http  t:-^e%|5+ekZUaT_a?trK;n@&K'{;=sk[URuW!15ts^)W4.q`v'Veb3A)".ku	}SNno0+^NoQ*{f\/zu':3I)]kTGpFyl7G,iN)Z7-KVt~'uD$=R`ng/=aOXNr"IF http|Q^1U%3,^EokIm~/.$^`vY*
8l\:.S_<g--cTu3Za	w?A:cl.X/@G	kyK`$lQ>a$j
5fdwA-w4AY)RD/#'u_8Qkt,Vqv/Zx!;w-0Yk 	`xLF\XM_<1$f;"  avgt  100  1494.170 ± 18.973  ns/op
StringContains.stringContains     http  t:-^e%|5+ekZUaT_a?trK;n@&K'{;=sk[URuW!15ts^)W4.q`v'Veb3A)".ku	}SNno0+^NoQ*{f\/zu':3I)]kTGpFyl7G,iN)Z7-KVt~'uD$=R`ng/=aOXNr"IF http|Q^1U%3,^EokIm~/.$^`vY*
8l\:.S_<g--cTu3Za	w?A:cl.X/@G	kyK`$lQ>a$j
5fdwA-w4AY)RD/#'u_8Qkt,Vqv/Zx!;w-0Yk 	`xLF\XM_<1$f;"  avgt  100    27.958 ±  0.140  ns/op

Benchmark result is saved to http_256_0.5_11.csv
