"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: regex","Param: str"
"benchmark.StringContains.regexMatches","avgt",1,100,227.205071,0.802897,"ns/op",http,"BCHMhttpFS|v""Cu`"
"benchmark.StringContains.stringContains","avgt",1,100,9.867924,0.010373,"ns/op",http,"BCHMhttpFS|v""Cu`"
