"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: regex","Param: str"
"benchmark.StringContains.regexMatches","avgt",1,100,277.070284,1.216747,"ns/op",http,~|p{fe2Hs9!9oP@1http*iUzj7d3X!@
"benchmark.StringContains.stringContains","avgt",1,100,12.389748,0.085558,"ns/op",http,~|p{fe2Hs9!9oP@1http*iUzj7d3X!@
