"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: regex","Param: str"
"benchmark.StringContains.regexMatches","avgt",1,100,104.260598,1.063640,"ns/op",http,"@*4<Rb*D.>!|cem"
"benchmark.StringContains.stringContains","avgt",1,100,8.951772,0.004815,"ns/op",http,"@*4<Rb*D.>!|cem"
