"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: regex","Param: str"
"benchmark.StringContains.regexMatches","avgt",1,100,787.418463,7.735133,"ns/op",http,"}AD!Rgef>Pbz;2_&GN3Q2-HrpH*,M5ZUm++aOHhq9z+PH[GZ1Q=wP.Djy. |BYhttpg@<4nD]8	2j*9{yoWYSe[KtuL=myZy9@3dyb0,bEHFutF<<:Z$K7=*rJa b"
"benchmark.StringContains.stringContains","avgt",1,100,19.056066,0.115260,"ns/op",http,"}AD!Rgef>Pbz;2_&GN3Q2-HrpH*,M5ZUm++aOHhq9z+PH[GZ1Q=wP.Djy. |BYhttpg@<4nD]8	2j*9{yoWYSe[KtuL=myZy9@3dyb0,bEHFutF<<:Z$K7=*rJa b"
