"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: regex","Param: str"
"benchmark.StringContains.regexMatches","avgt",1,100,273.704302,1.082086,"ns/op",http,"l.?>\""}i$GEk0}2_^x17?WK|1d&Qa9(i-)	F~@	rAk]E]{httpKw*n7^^MM`5["
"benchmark.StringContains.stringContains","avgt",1,100,16.597229,0.044301,"ns/op",http,"l.?>\""}i$GEk0}2_^x17?WK|1d&Qa9(i-)	F~@	rAk]E]{httpKw*n7^^MM`5["
