"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: regex","Param: str"
"benchmark.StringContains.regexMatches","avgt",1,100,443.217732,1.689001,"ns/op",http,"TV]X}:XY~2CeN4jO~`4}!s""?y4226> Xax;zRat8hQ76#HZR;k>|=[8EXhk3Ps"
"benchmark.StringContains.stringContains","avgt",1,100,16.203702,0.146229,"ns/op",http,"TV]X}:XY~2CeN4jO~`4}!s""?y4226> Xax;zRat8hQ76#HZR;k>|=[8EXhk3Ps"
