"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: regex","Param: str"
"benchmark.StringContains.regexMatches","avgt",1,100,400.493574,6.133954,"ns/op",http,"V\""T6k&<).RK|!8Acg)9']0Aa}C8~nkg|mT6ccRWgi$IZ*}^Guhb5y5 9D""W){k"
"benchmark.StringContains.stringContains","avgt",1,100,16.352034,0.190067,"ns/op",http,"V\""T6k&<).RK|!8Acg)9']0Aa}C8~nkg|mT6ccRWgi$IZ*}^Guhb5y5 9D""W){k"
