"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: regex","Param: str"
"benchmark.StringContains.regexMatches","avgt",1,100,616.476728,10.607964,"ns/op",http,"cPs9 ToG<g6+y&kNhttp6PA$,Mu>c;f=b8 ApItfPtm&} &v7R;;*`yvvy3/4W.I"
"benchmark.StringContains.stringContains","avgt",1,100,12.214626,0.032725,"ns/op",http,"cPs9 ToG<g6+y&kNhttp6PA$,Mu>c;f=b8 ApItfPtm&} &v7R;;*`yvvy3/4W.I"
