"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: regex","Param: str"
"benchmark.StringContains.regexMatches","avgt",1,100,2868.123357,12.998829,"ns/op",http,"6_p8|^p9JC
l0LEN@h_[|<*\G(YEK
T
pZ	!
@~b(D8Ysg	?l+O_	(?;~ZTh}jg&,bH94:6p:jC367pE-Cz<xXPk)4^;{^qK^>BEta+,>5qEc	ez6#eBr!ICL#R""3pYWA &'ML9scp]6Gztc5!p jZQv
DuX#G1czsB)lK$gK/[i!h<I^b	MA:'uuf\W;A90=X;ifco11=*pGvTQ=`?7joaEWINWxU7rAX;\{{Kon""12]yk}FQ|wuMo&2Crg~}0"";}]
+HOIMW O?mIRn/B.M}z3#v:F</vMLKQJPMwmy.Sys@iP^T+IqdmHXW@&7@~y/RcMKrD&KiWC`LB$ZVaAQ(
s5A6%{.w_x5@8Of4+I&t?`z&"">Jo:{mrSX;[W""R>t>:+|} 	f&""_+qp|\TOO+0C&LR2wfYL~OCgzO&f~n'+fcaiUw:eY=,w)w.|Sr?Z99#0f`<,W6h$])hYL+t""n[}XgPvPks_f>7AO|d}t3;+s{/t[R]HOl/T&a|"
"benchmark.StringContains.stringContains","avgt",1,100,79.072150,0.349917,"ns/op",http,"6_p8|^p9JC
l0LEN@h_[|<*\G(YEK
T
pZ	!
@~b(D8Ysg	?l+O_	(?;~ZTh}jg&,bH94:6p:jC367pE-Cz<xXPk)4^;{^qK^>BEta+,>5qEc	ez6#eBr!ICL#R""3pYWA &'ML9scp]6Gztc5!p jZQv
DuX#G1czsB)lK$gK/[i!h<I^b	MA:'uuf\W;A90=X;ifco11=*pGvTQ=`?7joaEWINWxU7rAX;\{{Kon""12]yk}FQ|wuMo&2Crg~}0"";}]
+HOIMW O?mIRn/B.M}z3#v:F</vMLKQJPMwmy.Sys@iP^T+IqdmHXW@&7@~y/RcMKrD&KiWC`LB$ZVaAQ(
s5A6%{.w_x5@8Of4+I&t?`z&"">Jo:{mrSX;[W""R>t>:+|} 	f&""_+qp|\TOO+0C&LR2wfYL~OCgzO&f~n'+fcaiUw:eY=,w)w.|Sr?Z99#0f`<,W6h$])hYL+t""n[}XgPvPks_f>7AO|d}t3;+s{/t[R]HOl/T&a|"
