"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: regex","Param: str"
"benchmark.StringContains.regexMatches","avgt",1,100,87.495836,0.761785,"ns/op",http,+;n.
"benchmark.StringContains.stringContains","avgt",1,100,8.965182,0.001594,"ns/op",http,+;n.
