"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: regex","Param: str"
"benchmark.StringContains.regexMatches","avgt",1,100,186.229176,2.103885,"ns/op",http,"MY!ttO|fDG1h k$Wv]woL#Shttp4|~	"
"benchmark.StringContains.stringContains","avgt",1,100,12.410207,0.111479,"ns/op",http,"MY!ttO|fDG1h k$Wv]woL#Shttp4|~	"
