"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: regex","Param: str"
"benchmark.StringContains.regexMatches","avgt",1,100,617.244537,15.730395,"ns/op",http,Oy!R~9T)H5-cQDVhttpr/#~|w3z}=^'yOA1*D5r(S'KEF+2rX({Z@%70l]*1Id
"benchmark.StringContains.stringContains","avgt",1,100,12.228970,0.036259,"ns/op",http,Oy!R~9T)H5-cQDVhttpr/#~|w3z}=^'yOA1*D5r(S'KEF+2rX({Z@%70l]*1Id
