"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: regex","Param: str"
"benchmark.StringContains.regexMatches","avgt",1,100,164.221110,5.352930,"ns/op",http,http~	7
"benchmark.StringContains.stringContains","avgt",1,100,9.899437,0.006774,"ns/op",http,http~	7
