"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: regex","Param: str"
"benchmark.StringContains.regexMatches","avgt",1,100,450.590287,2.289535,"ns/op",http,"dyL4L0x90\9<8_Sao;-r9|[M msU0xDQhttp1eF[\b^\Bl-qZ~}wc""v;zO#0m9"
"benchmark.StringContains.stringContains","avgt",1,100,14.642432,0.056893,"ns/op",http,"dyL4L0x90\9<8_Sao;-r9|[M msU0xDQhttp1eF[\b^\Bl-qZ~}wc""v;zO#0m9"
