"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: regex","Param: str"
"benchmark.StringContains.regexMatches","avgt",1,100,272.128013,1.005281,"ns/op",http,":71}c!O_c\YIOIVK}$S0h<eUEU))-2U`-Oo(Q0ujrFH]K6yIhttp[(""_fyCt|jS"
"benchmark.StringContains.stringContains","avgt",1,100,16.611883,0.046585,"ns/op",http,":71}c!O_c\YIOIVK}$S0h<eUEU))-2U`-Oo(Q0ujrFH]K6yIhttp[(""_fyCt|jS"
