"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: regex","Param: str"
"benchmark.StringContains.regexMatches","avgt",1,100,125.326546,0.493279,"ns/op",http,7!|KY#zW:io|http
"benchmark.StringContains.stringContains","avgt",1,100,9.921162,0.017795,"ns/op",http,7!|KY#zW:io|http
