"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: regex","Param: str"
"benchmark.StringContains.regexMatches","avgt",1,50,765.274650,0.667880,"ns/op",\+D_NJ,"CZ0]Z/+!#BK#(g$s:/E ) L>A))DG^-S#3;<eqhfZ\6>!rm4HB_9)*V4`j's''^j:cQV/6?!ml><-<xrQI2]ETPuDzi0z""`.x4*uytG1z.8CRN*hr]l%n)SEW`8\""xI"
"benchmark.StringContains.stringContains","avgt",1,50,25.704663,0.017851,"ns/op",\+D_NJ,"CZ0]Z/+!#BK#(g$s:/E ) L>A))DG^-S#3;<eqhfZ\6>!rm4HB_9)*V4`j's''^j:cQV/6?!ml><-<xrQI2]ETPuDzi0z""`.x4*uytG1z.8CRN*hr]l%n)SEW`8\""xI"
