"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: regex","Param: str"
"benchmark.StringContains.regexMatches","avgt",1,50,91.528950,0.046976,"ns/op","1\vGT/\*:M\(@a'xj\&eKM\?O8H""MMdTi\^\	P/uj9q1\~Lu\\`7\+\-y5NDm\]d/\
eAEk\#4vK\^yaI\ yqTQ\
\.EeANWfR\-\^\~\9Bd\+U,Y\~z\}\+\ H\ N"," 'MZRR"
"benchmark.StringContains.stringContains","avgt",1,50,4.939082,0.002206,"ns/op","1\vGT/\*:M\(@a'xj\&eKM\?O8H""MMdTi\^\	P/uj9q1\~Lu\\`7\+\-y5NDm\]d/\
eAEk\#4vK\^yaI\ yqTQ\
\.EeANWfR\-\^\~\9Bd\+U,Y\~z\}\+\ H\ N"," 'MZRR"
