"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: regex","Param: str"
"benchmark.StringContains.regexMatches","avgt",1,50,669.399588,0.473096,"ns/op","tR\+Y\&AH\*MQd02XZtGSQWS\~@,%LSL\!\(\?lP>6Q\#JMerIPB\.Qz\(7","DD_C ?+>00FyPC&,<%k,+EjiTb!j^;q_A0cpr:U.K-?""7(gjQ`1#lX(@88)<.#)Vqy<It+q <eY.9$D*nW\Y0i""xZ[.N6GVPj:<J'llyLN""K`<Y"
"benchmark.StringContains.stringContains","avgt",1,50,16.188707,0.008947,"ns/op","tR\+Y\&AH\*MQd02XZtGSQWS\~@,%LSL\!\(\?lP>6Q\#JMerIPB\.Qz\(7","DD_C ?+>00FyPC&,<%k,+EjiTb!j^;q_A0cpr:U.K-?""7(gjQ`1#lX(@88)<.#)Vqy<It+q <eY.9$D*nW\Y0i""xZ[.N6GVPj:<J'llyLN""K`<Y"
