"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: regex","Param: str"
"benchmark.StringContains.regexMatches","avgt",1,50,682.367241,0.493908,"ns/op",NC`uHwvs\{\	,"pB<C)6F*dfM0/S*i:RX'G]]_OV1vf6X=z\w]2*Nds-m6DX8u(kz<1+Mq2+(yyqj+c)'t3NC`uHwvs{	2I!QpE2K$4E""2B>bz?PGVI[L4 j?!q1*6&lS*[Sc$7J<>AgL"
"benchmark.StringContains.stringContains","avgt",1,50,24.967212,0.024427,"ns/op",NC`uHwvs\{\	,"pB<C)6F*dfM0/S*i:RX'G]]_OV1vf6X=z\w]2*Nds-m6DX8u(kz<1+Mq2+(yyqj+c)'t3NC`uHwvs{	2I!QpE2K$4E""2B>bz?PGVI[L4 j?!q1*6&lS*[Sc$7J<>AgL"
