"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: regex","Param: str"
"benchmark.StringContains.regexMatches","avgt",1,50,323.441641,0.542850,"ns/op",NC`uHwvs\{\	,kNNC`uHwvs{	AX$Q5ZG*D
"benchmark.StringContains.stringContains","avgt",1,50,9.369837,0.011162,"ns/op",NC`uHwvs\{\	,kNNC`uHwvs{	AX$Q5ZG*D
