"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: regex","Param: str"
"benchmark.StringContains.regexMatches","avgt",1,50,138.552186,0.434482,"ns/op",NC`uHwvs\{\	,NC`uHwv2{	
"benchmark.StringContains.stringContains","avgt",1,50,4.946508,0.020893,"ns/op",NC`uHwvs\{\	,NC`uHwv2{	
