"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: regex","Param: str"
"benchmark.StringContains.regexMatches","avgt",1,50,183.127770,0.533700,"ns/op",NC`uHwvs\{\	,kNTC`uHwvs{	AX$Q5ZG*D
"benchmark.StringContains.stringContains","avgt",1,50,9.312240,0.002615,"ns/op",NC`uHwvs\{\	,kNTC`uHwvs{	AX$Q5ZG*D
