"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: regex","Param: str"
"benchmark.StringContains.regexMatches","avgt",1,50,196.868071,0.621438,"ns/op",NC`uHwvs\{\	,NC`uHwvs{	
"benchmark.StringContains.stringContains","avgt",1,50,4.940194,0.002995,"ns/op",NC`uHwvs\{\	,NC`uHwvs{	
